ParameterName,IsAnomaly,ActualValue,ExpectedValue,Time
Temperature,Yes,97,74.12909786010881,01/03/2024 11:48:16
Temperature,Yes,2,28.508338498647262,01/03/2024 11:46:15
Temperature,Yes,0,30.3408678962936,01/03/2024 11:43:50
Temperature,Yes,95,81.32321872767027,01/03/2024 11:43:30
Temperature,Yes,94,105.77185583883102,01/03/2024 11:40:35
Temperature,Yes,93,68.44786345798084,01/03/2024 11:40:20
Temperature,Yes,95,103.87641392993916,01/03/2024 11:39:20
Temperature,Yes,94,88.98985481002087,01/03/2024 11:37:24
Temperature,Yes,94,67.51796864140881,01/03/2024 11:35:49
Temperature,Yes,97,89.05574941306581,01/03/2024 11:32:39
Temperature,Yes,99,88.02997423325294,01/03/2024 11:32:04
Temperature,Yes,97,76.48069971712142,01/03/2024 11:30:19
Temperature,Yes,1,0,01/03/2024 11:30:09
Temperature,Yes,98,73.7680783901514,01/03/2024 11:29:39
Temperature,Yes,1,19.691047912822697,01/03/2024 11:28:49
Temperature,Yes,98,81.47174841393142,01/03/2024 11:27:58
Temperature,Yes,98,91.28512119194801,01/03/2024 11:27:28
Temperature,Yes,95,85.84534902364724,01/03/2024 11:27:18
Temperature,Yes,99,94.52309980197398,01/03/2024 11:25:58
Temperature,Yes,2,35.42188489308104,01/03/2024 11:25:38
Temperature,Yes,98,61.69769789524244,01/03/2024 11:25:33
Temperature,Yes,3,17.250261226380374,01/03/2024 11:25:08
Temperature,Yes,0,20.485049993874686,01/03/2024 11:24:48
Temperature,Yes,1,24.434453105725552,01/03/2024 11:24:18
Temperature,Yes,97,79.81203257672982,01/03/2024 11:24:13
Temperature,Yes,96,69.85607143884673,01/03/2024 11:22:13
Temperature,Yes,1,16.582695941493554,01/03/2024 11:21:08
Temperature,Yes,95,80.15220865826193,01/03/2024 11:20:23
Temperature,Yes,94,74.21532657761915,01/03/2024 11:19:28
Temperature,Yes,0,10.958334101195625,01/03/2024 11:18:17
Temperature,Yes,2,22.688322834474437,01/03/2024 11:17:12
Temperature,Yes,94,49.91306033656014,01/03/2024 11:16:52
Temperature,Yes,93,45.953945094619264,01/03/2024 11:16:42
Temperature,Yes,1,19.078412980153896,01/03/2024 11:12:17
Temperature,Yes,94,64.61517938729553,01/03/2024 11:11:22
Temperature,Yes,97,86.32032464815751,01/03/2024 11:10:32
Temperature,Yes,95,61.230534114198484,01/03/2024 11:08:11
Temperature,Yes,97,78.83302803703279,01/03/2024 11:06:16
Temperature,Yes,2,10.51080718997132,01/03/2024 11:06:01
Temperature,Yes,5,0.5595498094260769,01/03/2024 11:05:56
Temperature,Yes,98,107.24350305730782,01/03/2024 11:05:36
Temperature,Yes,5,22.645509762755427,01/03/2024 11:05:26
Temperature,Yes,95,72.18157786131196,01/03/2024 11:04:56
Temperature,Yes,4,9.011564525627534,01/03/2024 11:03:01
Temperature,Yes,95,82.46858459253453,01/03/2024 11:01:31
Temperature,Yes,94,67.6621904078579,01/03/2024 11:01:06
Temperature,Yes,97,92.20786710254819,01/03/2024 11:00:35
Temperature,Yes,96,108.06656320814737,01/03/2024 10:59:55
Temperature,Yes,98,74.31947083351298,01/03/2024 10:59:35
Temperature,Yes,96,80.20258333550758,01/03/2024 10:57:25
Temperature,Yes,5,14.746628008136145,01/03/2024 10:57:20
Temperature,Yes,5,0,01/03/2024 10:56:50
Temperature,Yes,93,88.12526924177786,01/03/2024 10:56:30
Temperature,Yes,93,101.91554973066697,01/03/2024 10:56:05
Temperature,Yes,4,0,01/03/2024 10:54:45
Temperature,Yes,96,72.24585154234246,01/03/2024 10:54:25
Temperature,Yes,98,82.28414207871221,01/03/2024 10:53:45
Temperature,Yes,5,18.65340370489036,01/03/2024 10:53:40
Temperature,Yes,2,0,01/03/2024 10:47:44
Temperature,Yes,0,11.446947824577073,01/03/2024 10:46:59
Temperature,Yes,93,80.24732254255521,01/03/2024 10:46:44
Temperature,Yes,96,72.8275718905679,01/03/2024 10:45:06
Temperature,Yes,0,16.7500400600577,01/03/2024 10:45:01
