ParameterName,IsChangePoint,Value,Time
Temperature,Yes,73,01/10/2024 12:42:38
Temperature,Yes,7,01/10/2024 12:41:22
Temperature,Yes,45,01/10/2024 12:43:38
Temperature,Yes,7,01/10/2024 12:41:22
Temperature,Yes,57,01/10/2024 12:44:43
Temperature,Yes,35,01/10/2024 12:44:18
Temperature,Yes,7,01/10/2024 12:41:22
Temperature,Yes,67,01/10/2024 12:46:44
Temperature,Yes,14,01/10/2024 12:46:18
Temperature,Yes,97,01/10/2024 12:45:48
Temperature,Yes,23,01/10/2024 12:44:33
Temperature,Yes,98,01/10/2024 12:48:16
Temperature,Yes,14,01/10/2024 12:46:18
Temperature,Yes,77,01/10/2024 12:45:53
Temperature,Yes,23,01/10/2024 12:44:33
Temperature,Yes,80,01/10/2024 12:44:08
Temperature,Yes,79,01/10/2024 12:43:33
Temperature,Yes,55,01/10/2024 12:48:31
Temperature,Yes,59,01/10/2024 12:48:36
Temperature,Yes,91,01/10/2024 12:48:11
Temperature,Yes,14,01/10/2024 12:46:18
Temperature,Yes,77,01/10/2024 12:45:53
Temperature,Yes,55,01/10/2024 12:48:31
Temperature,Yes,55,01/10/2024 12:48:31
Temperature,Yes,59,01/10/2024 12:48:36
Temperature,Yes,91,01/10/2024 12:48:11
Temperature,Yes,14,01/10/2024 12:46:18
Temperature,Yes,77,01/10/2024 12:45:53
